game_id,time,P0_species,P0_Ability,P0_AddToControlGroup,P0_Camera,P0_ControlGroup,P0_GetControlGroup,P0_RightClick,P0_Selection,P0_SetControlGr6oup,P1_species,P1_Ability,P1_AddToControlGroup,P1_Camera,P1_ControlGroup,P1_GetControlGroup,P1_RightClick,P1_Selection,P1_SetControlGr6oup,winner,diff_Ability,diff_AddToControlGroup,diff_Camera,diff_ControlGroup,diff_GetControlGroup,diff_RightClick,diff_Selection,diff_SetControlGr6oup
3154,8.19,T,79,4,513,1,230,382,149,13,T,86,0,360,0,213,569,98,6,0,7,-4,-153,-1,-17,187,-51,-7
3155,4.45,T,22,0,311,0,175,61,77,3,Z,20,0,289,0,200,44,88,3,1,-2,0,-22,0,25,-17,11,0
3156,4.18,T,35,2,199,0,53,119,63,4,T,31,2,195,0,234,70,72,5,0,-4,0,-4,0,181,-49,9,1
3157,5.35,Z,16,1,160,0,30,62,98,0,P,16,0,269,0,10,69,23,5,1,0,-1,109,0,-20,7,-75,5
3158,1.36,Z,7,2,79,0,240,23,21,0,P,7,0,50,0,14,43,5,4,0,0,-2,-29,0,-226,20,-16,4
3159,5.51,T,24,1,76,0,0,22,56,0,T,35,0,359,0,1,74,68,1,1,11,-1,283,0,1,52,12,1
3160,9.59,T,69,0,563,0,0,213,209,1,Z,48,1,906,0,43,128,193,5,1,-21,1,343,0,43,-85,-16,4
3161,4.5,Z,23,0,215,14,869,100,138,0,Z,30,4,194,1,274,149,154,7,1,7,4,-21,-13,-595,49,16,7
3162,0.3,T,1,0,27,0,0,8,3,0,T,3,0,28,0,0,3,2,1,1,2,0,1,0,0,-5,-1,1
3163,9.59,P,69,4,431,0,16,265,129,0,T,86,15,370,1,527,183,113,1,1,17,11,-61,1,511,-82,-16,1
3164,3.26,Z,13,3,97,0,7,14,50,0,T,14,0,203,0,11,29,17,2,0,1,-3,106,0,4,15,-33,2
3165,10.2,P,71,1,759,0,100,161,104,4,T,98,0,346,0,710,231,182,16,0,27,-1,-413,0,610,70,78,12
3166,6.15,T,42,1,525,0,281,98,55,3,P,25,0,283,0,0,75,56,0,1,-17,-1,-242,0,-281,-23,1,-3
3167,4.35,T,42,0,229,0,193,145,103,12,Z,35,5,322,0,154,68,181,0,0,-7,5,93,0,-39,-77,78,-12
3168,8.31,Z,41,2,257,0,38,90,119,0,Z,44,0,579,0,15,118,182,2,0,3,-2,322,0,-23,28,63,2
3169,9.12,Z,40,0,372,0,28,89,141,6,P,69,2,836,0,41,85,79,6,1,29,2,464,0,13,-4,-62,0
3170,9.58,T,105,0,610,0,86,174,171,26,Z,60,6,409,0,72,131,173,4,0,-45,6,-201,0,-14,-43,2,-22
3171,9.4,Z,60,6,182,0,69,49,147,1,Z,45,5,328,0,37,139,167,0,0,-15,-1,146,0,-32,90,20,-1
3172,3.23,T,14,3,272,0,6,101,47,0,P,12,0,249,0,4,36,23,2,1,-2,-3,-23,0,-2,-65,-24,2
3173,9.59,Z,110,2,338,0,294,461,309,4,Z,65,6,585,0,27,269,258,19,0,-45,4,247,0,-267,-192,-51,15
3174,6.29,Z,29,0,438,0,12,88,104,1,T,35,8,243,0,133,70,76,0,1,6,8,-195,0,121,-18,-28,-1
3175,0.25,P,3,0,17,0,0,11,2,0,T,2,0,25,0,0,1,3,0,1,-1,0,8,0,0,-10,1,0
3176,5.03,T,32,0,133,0,211,162,63,4,Z,25,0,150,0,238,143,138,6,0,-7,0,17,0,27,-19,75,2
3177,8.53,Z,48,0,282,0,14,184,260,9,P,54,0,378,0,4,206,77,3,0,6,0,96,0,-10,22,-183,-6
3178,2.23,T,11,0,32,0,84,34,84,0,T,10,1,93,0,214,50,13,4,0,-1,1,61,0,130,16,-71,4
3179,9.58,Z,43,0,475,0,41,140,160,2,T,81,6,583,0,6,199,217,3,0,38,6,108,0,-35,59,57,1
3180,9.4,T,77,3,598,0,153,213,98,5,P,68,1,332,0,18,163,97,0,1,-9,-2,-266,0,-135,-50,-1,-5
3181,9.59,Z,21,0,424,0,0,151,190,0,T,31,0,754,0,0,41,61,0,1,10,0,330,0,0,-110,-129,0
3182,6.1,Z,45,3,252,1,234,113,267,6,P,32,0,428,0,358,241,66,4,0,-13,-3,176,-1,124,128,-201,-2
3183,9.59,T,81,0,608,0,73,122,88,9,Z,68,0,414,0,48,265,262,9,1,-13,0,-194,0,-25,143,174,0
3184,6.07,Z,35,2,425,0,69,145,115,4,P,53,0,263,0,264,192,160,9,1,18,-2,-162,0,195,47,45,5
3185,9.59,P,124,1,484,0,386,327,151,17,Z,114,9,525,0,383,377,384,1,1,-10,8,41,0,-3,50,233,-16
3186,8.07,Z,34,4,341,0,705,220,188,4,Z,70,3,293,0,440,216,197,2,1,36,-1,-48,0,-265,-4,9,-2
3187,6.31,T,44,3,397,0,419,150,107,6,P,38,3,227,0,10,165,66,3,1,-6,0,-170,0,-409,15,-41,-3
3188,4.26,P,17,1,379,0,7,50,24,2,T,23,0,239,0,0,30,37,2,1,6,-1,-140,0,-7,-20,13,0
3189,9.42,Z,48,1,416,0,1,142,223,1,P,68,2,431,0,105,370,119,4,1,20,1,15,0,104,228,-104,3
3190,9.59,Z,91,0,443,0,106,223,331,11,T,137,6,424,0,945,246,174,22,1,46,6,-19,0,839,23,-157,11
3191,1.09,P,5,0,73,0,128,11,26,6,Z,3,2,43,0,27,13,13,4,1,-2,2,-30,0,-101,2,-13,-2
3192,4.54,T,33,2,380,0,122,130,82,3,T,34,4,230,0,39,174,88,4,0,1,2,-150,0,-83,44,6,1
3193,7.07,P,56,2,220,0,414,191,69,9,P,39,2,180,0,546,191,120,4,0,-17,0,-40,0,132,0,51,-5
3194,9.58,Z,46,0,643,0,9,130,190,6,Z,65,0,544,0,4,45,201,3,1,19,0,-99,0,-5,-85,11,-3
3195,4.56,Z,30,3,237,0,28,133,114,2,P,23,0,169,0,2,90,95,1,1,-7,-3,-68,0,-26,-43,-19,-1
3196,8.35,T,51,2,781,0,8,211,75,2,Z,40,3,393,0,72,85,149,5,1,-11,1,-388,0,64,-126,74,3
3197,7.56,T,50,4,615,0,747,80,58,0,T,41,4,407,0,14,74,78,0,0,-9,0,-208,0,-733,-6,20,0
3198,10.04,Z,49,9,283,0,83,107,181,1,Z,59,0,821,0,40,159,277,22,1,10,-9,538,0,-43,52,96,21
3199,7.39,Z,55,3,637,0,160,200,263,7,T,78,0,339,0,336,249,154,5,0,23,-3,-298,0,176,49,-109,-2
3200,9.59,Z,82,4,516,0,267,470,337,4,Z,84,0,564,0,29,420,278,4,0,2,-4,48,0,-238,-50,-59,0
3201,8.5,Z,70,2,410,0,120,221,302,0,T,74,0,549,0,35,150,190,6,0,4,-2,139,0,-85,-71,-112,6
3202,8.12,Z,36,0,119,0,8,66,183,2,P,53,2,396,5,136,72,53,0,1,17,2,277,5,128,6,-130,-2
3203,8.07,Z,47,1,569,0,10,87,153,1,Z,59,2,315,0,732,109,411,11,0,12,1,-254,0,722,22,258,10
3204,7.57,Z,56,4,363,0,271,153,226,11,T,82,1,472,0,390,229,195,15,1,26,-3,109,0,119,76,-31,4
3205,9.58,T,92,8,738,0,47,221,142,1,P,39,0,879,0,6,158,87,2,0,-53,-8,141,0,-41,-63,-55,1
3206,9.59,Z,66,2,350,0,18,87,183,1,T,83,5,628,0,39,245,129,3,0,17,3,278,0,21,158,-54,2
3207,9.56,T,55,0,1119,0,0,21,110,0,T,41,3,1090,0,7,89,54,0,0,-14,3,-29,0,7,68,-56,0
3208,2.48,P,13,0,267,0,8,19,8,3,P,9,1,223,0,2,26,9,0,0,-4,1,-44,0,-6,7,1,-3
3209,5.1,T,25,0,395,0,64,102,73,4,T,27,0,215,0,4,97,52,4,1,2,0,-180,0,-60,-5,-21,0
3210,6.39,Z,38,11,298,0,34,128,106,0,Z,35,8,297,0,431,83,160,3,1,-3,-3,-1,0,397,-45,54,3
3211,0.23,T,2,0,30,0,0,1,1,1,T,2,1,4,0,3,1,12,0,0,0,1,-26,0,3,0,11,-1
3212,7.27,T,48,2,546,0,20,129,58,0,P,25,0,633,0,1,50,38,1,0,-23,-2,87,0,-19,-79,-20,1
3213,1.08,Z,3,0,77,0,12,4,13,4,P,7,0,86,0,100,37,16,2,0,4,0,9,0,88,33,3,-2
3214,6.4,T,49,2,216,0,13,156,60,1,P,23,0,374,0,0,119,33,0,1,-26,-2,158,0,-13,-37,-27,-1
3215,9.59,T,51,0,859,0,121,62,49,7,T,54,0,428,0,59,103,87,4,0,3,0,-431,0,-62,41,38,-3
3216,9.23,T,57,10,910,0,174,140,167,1,Z,48,7,339,0,69,79,146,0,0,-9,-3,-571,0,-105,-61,-21,-1
3217,9.58,Z,58,0,492,0,404,144,204,4,Z,54,0,532,0,31,175,207,9,1,-4,0,40,0,-373,31,3,5
3218,9.59,Z,66,0,390,0,10,60,258,1,P,87,3,716,0,155,378,222,2,0,21,3,326,0,145,318,-36,1
3219,9.59,T,80,2,462,0,691,118,131,5,T,91,0,389,0,703,152,135,12,1,11,-2,-73,0,12,34,4,7
3220,9.59,Z,66,0,793,0,22,97,195,0,T,89,0,611,0,80,238,90,9,0,23,0,-182,0,58,141,-105,9
3221,7.05,Z,41,3,276,0,69,48,112,0,T,38,2,607,0,296,84,78,5,1,-3,-1,331,0,227,36,-34,5
3222,9.01,Z,52,0,368,0,44,235,184,1,Z,66,0,461,0,198,435,229,10,1,14,0,93,0,154,200,45,9
3223,4.47,P,21,0,133,0,3,85,39,2,P,14,0,122,0,2,123,78,1,0,-7,0,-11,0,-1,38,39,-1
3224,9.5,T,111,0,498,0,58,61,66,2,Z,47,0,209,0,27,90,184,5,0,-64,0,-289,0,-31,29,118,3
3225,5.02,P,28,0,261,0,70,119,42,5,Z,25,0,203,0,338,88,88,5,0,-3,0,-58,0,268,-31,46,0
3226,5.44,Z,46,0,170,0,28,175,146,4,Z,25,1,169,0,10,82,73,0,0,-21,1,-1,0,-18,-93,-73,-4
3227,9.59,Z,115,1,847,0,171,298,249,19,T,121,5,369,0,218,251,272,12,1,6,4,-478,0,47,-47,23,-7
3228,7.14,P,25,0,341,0,3,87,65,2,T,48,0,470,0,32,166,78,8,1,23,0,129,0,29,79,13,6
3229,7.41,P,41,3,143,0,10,193,77,1,P,37,0,413,0,32,155,42,5,1,-4,-3,270,0,22,-38,-35,4
3230,7.51,T,69,2,540,0,150,134,84,3,Z,40,2,232,0,35,127,123,2,0,-29,0,-308,0,-115,-7,39,-1
3231,7.23,T,37,0,255,0,12,26,61,4,P,41,0,593,0,25,146,52,3,1,4,0,338,0,13,120,-9,-1
3232,9.03,P,37,0,730,0,9,144,77,2,T,61,5,562,0,23,201,94,4,0,24,5,-168,0,14,57,17,2
3233,1.05,T,2,0,68,0,0,8,4,1,P,6,0,60,0,0,11,5,0,1,4,0,-8,0,0,3,1,-1
3234,9.59,Z,65,2,374,0,44,191,211,5,T,80,4,658,0,32,193,140,1,0,15,2,284,0,-12,2,-71,-4
3235,8.42,T,31,0,561,0,0,58,40,0,T,92,0,425,0,407,257,232,9,1,61,0,-136,0,407,199,192,9
3236,9.58,Z,60,4,327,0,38,119,158,3,T,84,0,511,0,50,184,97,1,1,24,-4,184,0,12,65,-61,-2
3237,2.12,P,10,0,116,0,57,35,9,1,P,8,0,127,0,3,47,26,4,1,-2,0,11,0,-54,12,17,3
3238,9.59,T,126,0,435,0,234,415,155,40,P,82,6,362,0,90,142,101,6,0,-44,6,-73,0,-144,-273,-54,-34
3239,10.16,T,122,2,584,0,478,270,223,10,P,144,0,627,0,628,468,233,22,0,22,-2,43,0,150,198,10,12
3240,4.18,P,24,0,344,0,42,138,78,1,P,18,1,119,0,3,66,22,1,1,-6,1,-225,0,-39,-72,-56,0
3241,9.59,T,70,0,621,0,24,227,84,10,Z,35,1,518,0,13,149,197,0,1,-35,1,-103,0,-11,-78,113,-10
3242,9.59,T,73,7,811,0,13,283,204,2,T,67,5,936,0,19,162,138,0,0,-6,-2,125,0,6,-121,-66,-2
3243,3.54,T,13,0,166,0,3,99,32,7,T,16,0,79,0,0,42,35,3,1,3,0,-87,0,-3,-57,3,-4
3244,7.42,T,54,6,379,0,474,199,91,4,T,80,0,451,0,124,212,79,4,1,26,-6,72,0,-350,13,-12,0
3245,7.38,T,56,2,468,0,353,194,90,4,T,49,0,396,0,63,155,48,6,1,-7,-2,-72,0,-290,-39,-42,2
3246,5.07,P,36,0,185,0,350,96,64,9,T,39,0,360,0,195,230,104,4,0,3,0,175,0,-155,134,40,-5
3247,7.36,Z,26,4,537,0,19,118,67,2,T,47,0,286,0,215,225,56,6,0,21,-4,-251,0,196,107,-11,4
3248,10.48,P,59,12,813,0,30,313,86,0,Z,74,2,1120,0,35,142,329,5,0,15,-10,307,0,5,-171,243,5
3249,1.57,T,8,0,57,0,240,37,120,4,T,6,0,72,0,0,37,44,3,1,-2,0,15,0,-240,0,-76,-1
3250,8.57,T,45,5,355,0,7,85,69,0,T,28,10,361,0,43,41,66,0,0,-17,5,6,0,36,-44,-3,0
3251,9.57,Z,95,0,409,53,479,187,537,4,P,95,7,680,0,835,371,158,5,0,0,7,271,-53,356,184,-379,1
3252,9.58,T,51,2,462,0,5,47,121,0,T,62,0,795,0,14,113,74,2,0,11,-2,333,0,9,66,-47,2
3253,3.02,T,11,0,111,0,0,34,43,0,T,12,0,207,0,0,44,31,3,1,1,0,96,0,0,10,-12,3
3254,9.59,Z,47,0,310,0,55,184,165,1,T,67,0,617,0,81,101,84,6,0,20,0,307,0,26,-83,-81,5
3255,10.15,T,92,0,929,0,632,332,151,8,Z,101,0,649,0,0,213,433,0,1,9,0,-280,0,-632,-119,282,-8
3256,4.15,T,30,0,282,0,93,114,114,4,Z,21,0,102,0,45,37,96,2,0,-9,0,-180,0,-48,-77,-18,-2
3257,9.48,Z,41,1,268,0,21,91,144,0,T,98,0,682,0,419,270,182,13,1,57,-1,414,0,398,179,38,13
3258,8.25,P,52,3,455,0,89,229,67,1,Z,39,3,691,0,433,97,175,0,1,-13,0,236,0,344,-132,108,-1
3259,2.56,Z,7,2,126,0,235,33,94,6,Z,13,0,25,0,0,28,47,0,0,6,-2,-101,0,-235,-5,-47,-6
3260,9.2,Z,58,12,442,0,425,364,214,1,Z,77,7,574,0,26,184,205,5,0,19,-5,132,0,-399,-180,-9,4
3261,7.48,Z,69,9,556,3,300,333,246,4,Z,52,4,531,0,337,245,289,7,0,-17,-5,-25,-3,37,-88,43,3
3262,9.58,P,45,0,645,0,1,160,93,1,P,33,4,432,0,2,134,107,2,1,-12,4,-213,0,1,-26,14,1
3263,7.12,P,37,3,532,0,20,144,56,0,P,30,0,496,0,5,175,46,0,0,-7,-3,-36,0,-15,31,-10,0
3264,8.31,T,52,0,493,0,4,267,172,4,T,62,5,491,0,97,139,74,3,1,10,5,-2,0,93,-128,-98,-1
3265,8.3,P,37,1,469,0,28,259,77,0,P,80,0,718,0,54,222,130,4,1,43,-1,249,0,26,-37,53,4
3266,5.26,T,17,0,339,0,8,83,47,3,P,10,0,211,0,0,25,18,0,0,-7,0,-128,0,-8,-58,-29,-3
3267,10.29,T,52,0,836,0,5,108,82,2,P,50,0,917,0,2,131,64,4,1,-2,0,81,0,-3,23,-18,2
3268,10.34,T,75,0,646,0,152,231,73,8,T,82,9,658,0,566,313,286,3,1,7,9,12,0,414,82,213,-5
3269,10.56,T,78,0,759,0,181,200,116,11,T,54,3,1028,0,23,193,84,1,0,-24,3,269,0,-158,-7,-32,-10
3270,3.42,Z,11,2,167,0,17,40,54,1,Z,16,1,58,0,10,35,52,2,1,5,-1,-109,0,-7,-5,-2,1
3271,9.59,T,54,0,584,0,4,81,84,3,P,68,0,750,0,0,131,80,0,1,14,0,166,0,-4,50,-4,-3
3272,7.23,Z,51,0,596,0,68,330,308,4,T,106,0,273,0,686,180,85,12,1,55,0,-323,0,618,-150,-223,8
3273,6.58,Z,29,0,199,0,17,61,153,3,P,27,0,69,0,0,52,53,0,1,-2,0,-130,0,-17,-9,-100,-3
3274,3.15,T,4,6,186,0,5,27,10,1,T,18,0,100,0,10,31,25,2,0,14,-6,-86,0,5,4,15,1
3275,6.09,T,29,2,738,0,2,50,54,0,Z,16,0,180,0,47,102,72,5,1,-13,-2,-558,0,45,52,18,5
3276,1.09,P,2,0,23,0,82,16,23,1,P,8,0,30,0,31,27,74,2,1,6,0,7,0,-51,11,51,1
3277,5.05,P,25,0,296,0,1,87,42,2,P,22,0,571,0,7,80,25,3,0,-3,0,275,0,6,-7,-17,1
3278,9.59,Z,53,8,437,0,52,101,184,2,P,43,0,385,0,29,171,86,9,0,-10,-8,-52,0,-23,70,-98,7
3279,9.59,P,53,4,548,0,11,288,95,1,T,36,0,438,0,0,39,59,0,0,-17,-4,-110,0,-11,-249,-36,-1
3280,9.59,P,106,3,479,2,299,255,83,18,Z,114,9,360,0,599,339,477,8,0,8,6,-119,-2,300,84,394,-10
3281,9.09,Z,43,7,437,3,83,83,178,1,T,24,0,452,0,0,32,52,1,0,-19,-7,15,-3,-83,-51,-126,0
3282,5.05,P,19,0,404,0,0,75,39,0,Z,12,0,241,0,11,99,68,3,0,-7,0,-163,0,11,24,29,3
3283,5.55,T,34,5,367,0,32,68,33,2,T,27,0,627,0,28,47,90,1,0,-7,-5,260,0,-4,-21,57,-1
3284,4.36,P,28,0,268,0,74,112,67,3,P,22,0,159,0,42,134,36,5,0,-6,0,-109,0,-32,22,-31,2
3285,9.59,Z,52,6,280,0,33,143,220,0,T,63,0,474,0,23,271,286,10,0,11,-6,194,0,-10,128,66,10
3286,9.59,Z,42,0,449,0,26,191,196,0,Z,52,1,339,0,31,156,169,1,1,10,1,-110,0,5,-35,-27,1
3287,9.59,T,51,0,848,0,0,122,142,0,P,44,0,749,0,0,101,127,0,1,-7,0,-99,0,0,-21,-15,0
3288,7.04,Z,46,3,124,0,91,173,173,1,Z,41,8,275,0,204,178,135,7,1,-5,5,151,0,113,5,-38,6
3289,5.38,T,55,0,528,0,147,104,77,8,Z,26,0,111,0,39,61,373,0,1,-29,0,-417,0,-108,-43,296,-8
3290,9.59,T,111,0,709,0,183,351,148,10,Z,79,4,347,0,297,169,411,14,1,-32,4,-362,0,114,-182,263,4
3291,9.25,Z,54,0,1168,0,62,96,129,4,P,56,6,385,0,19,87,109,3,0,2,6,-783,0,-43,-9,-20,-1
3292,7.05,T,92,0,447,0,274,287,174,8,T,84,0,420,0,72,395,105,9,0,-8,0,-27,0,-202,108,-69,1
3293,7.37,T,46,0,406,0,60,78,40,4,T,44,3,834,0,78,202,59,1,0,-2,3,428,0,18,124,19,-3
3294,10.36,T,116,0,387,0,397,401,170,34,P,88,1,652,0,4,287,106,1,1,-28,1,265,0,-393,-114,-64,-33
3295,9.59,Z,82,3,347,0,128,173,182,4,T,100,0,475,0,67,270,82,6,0,18,-3,128,0,-61,97,-100,2
3296,9.59,P,58,0,623,0,119,308,124,10,P,83,0,622,0,576,263,95,16,0,25,0,-1,0,457,-45,-29,6
3297,10.13,P,151,5,471,0,240,333,144,17,Z,79,4,501,0,320,226,326,5,0,-72,-1,30,0,80,-107,182,-12
3298,7.32,T,56,0,314,6,57,54,69,0,P,43,2,556,0,100,206,57,4,0,-13,2,242,-6,43,152,-12,4
3299,9.32,T,104,0,442,0,385,211,264,27,Z,94,9,469,2,370,355,325,20,1,-10,9,27,2,-15,144,61,-7
3300,8.1,T,66,0,480,0,17,136,105,11,P,69,5,517,0,410,315,212,4,1,3,5,37,0,393,179,107,-7
3301,2.46,Z,9,3,79,0,5,120,103,0,P,10,0,88,0,38,63,9,2,0,1,-3,9,0,33,-57,-94,2
3302,9.58,Z,59,0,741,0,30,157,178,4,P,69,4,608,1,68,323,77,9,0,10,4,-133,1,38,166,-101,5
3303,9.57,T,44,0,479,0,13,27,71,5,Z,43,5,77,0,35,64,184,2,0,-1,5,-402,0,22,37,113,-3
3304,7.52,T,46,7,500,0,166,148,65,0,P,31,0,137,0,0,165,59,0,1,-15,-7,-363,0,-166,17,-6,0
3305,8.57,Z,47,0,555,0,6,112,130,1,Z,38,4,469,0,37,112,139,0,1,-9,4,-86,0,31,0,9,-1
3306,5.26,P,18,1,282,0,3,100,19,0,T,12,0,185,0,0,70,36,0,1,-6,-1,-97,0,-3,-30,17,0
3307,6.46,T,70,1,401,0,242,219,101,9,T,67,1,246,19,115,225,150,5,1,-3,0,-155,19,-127,6,49,-4
3308,9.59,Z,86,0,590,0,27,330,273,3,P,61,0,353,0,50,309,146,1,1,-25,0,-237,0,23,-21,-127,-2
3309,6.56,P,49,6,321,0,19,90,81,0,P,49,0,542,0,619,158,141,11,1,0,-6,221,0,600,68,60,11
3310,8.3,Z,57,2,365,0,158,231,463,9,T,73,4,471,0,329,149,227,11,1,16,2,106,0,171,-82,-236,2
3311,4.07,Z,17,0,87,0,17,16,49,0,Z,16,1,71,0,72,25,50,2,1,-1,1,-16,0,55,9,1,2
3312,6.03,P,33,0,243,0,318,182,87,8,T,38,0,389,0,41,228,206,4,1,5,0,146,0,-277,46,119,-4
3313,2.5,P,12,0,70,0,360,50,87,6,T,11,4,104,0,56,113,37,0,0,-1,4,34,0,-304,63,-50,-6
3314,9.58,Z,52,0,350,0,52,49,144,4,T,61,0,521,0,42,76,74,6,0,9,0,171,0,-10,27,-70,2
3315,6.38,Z,41,1,342,0,381,150,253,4,Z,46,1,269,0,89,105,210,2,0,5,0,-73,0,-292,-45,-43,-2
3316,10.04,Z,58,7,397,0,45,84,191,1,P,52,0,1295,0,24,125,85,3,0,-6,-7,898,0,-21,41,-106,2
3317,8.09,T,43,3,426,0,9,96,83,4,P,53,0,149,0,24,54,72,1,1,10,-3,-277,0,15,-42,-11,-3
3318,9.54,Z,48,0,332,0,30,149,310,6,P,67,1,635,0,28,240,104,6,1,19,1,303,0,-2,91,-206,0
3319,2.54,Z,14,0,64,0,53,52,77,1,Z,6,0,112,0,7,57,51,1,1,-8,0,48,0,-46,5,-26,0
3320,9.59,Z,46,0,259,0,38,25,208,5,Z,51,0,322,0,24,107,157,2,1,5,0,63,0,-14,82,-51,-3
3321,9.57,Z,76,2,403,0,189,166,256,4,Z,84,0,287,0,120,304,239,22,1,8,-2,-116,0,-69,138,-17,18
3322,9.13,P,53,0,609,3,32,141,73,0,P,37,2,245,0,9,63,41,0,1,-16,2,-364,-3,-23,-78,-32,0
3323,9.59,Z,64,0,742,0,3,242,175,0,T,67,2,422,0,33,222,90,4,1,3,2,-320,0,30,-20,-85,4
3324,4.41,P,29,0,232,0,39,141,21,7,Z,28,4,302,2,41,84,87,0,0,-1,4,70,2,2,-57,66,-7
3325,1.38,Z,7,0,25,0,9,24,23,2,T,7,0,58,0,0,13,14,0,0,0,0,33,0,-9,-11,-9,-2
3326,6.26,T,42,0,413,0,27,76,65,9,P,33,0,435,0,21,176,43,4,0,-9,0,22,0,-6,100,-22,-5
3327,3.56,P,21,0,242,0,8,102,19,1,Z,12,0,144,0,365,59,73,4,1,-9,0,-98,0,357,-43,54,3
3328,9.57,P,36,0,94,0,4,54,49,3,Z,35,2,640,0,1,58,162,0,0,-1,2,546,0,-3,4,113,-3
3329,9.59,T,126,12,422,0,250,257,141,10,T,137,2,586,0,312,312,341,22,1,11,-10,164,0,62,55,200,12
3330,9.56,Z,63,6,428,0,520,89,131,0,T,66,3,943,0,16,88,96,0,1,3,-3,515,0,-504,-1,-35,0
3331,5.46,P,18,0,174,0,6,76,55,1,T,30,0,347,0,11,104,44,5,1,12,0,173,0,5,28,-11,4
3332,9.58,Z,60,2,529,0,18,53,145,2,T,46,0,502,0,18,85,67,6,1,-14,-2,-27,0,0,32,-78,4
3333,3.04,T,9,2,162,0,6,48,19,0,P,9,0,177,0,0,42,7,0,1,0,-2,15,0,-6,-6,-12,0
3334,9.58,T,64,0,680,0,71,159,121,6,Z,65,0,849,0,0,76,183,0,1,1,0,169,0,-71,-83,62,-6
3335,6.04,Z,27,0,166,0,2,79,95,3,T,56,4,240,0,462,80,100,5,1,29,4,74,0,460,1,5,2
3336,9.59,Z,49,0,142,0,32,71,160,8,T,50,7,491,0,9,87,69,0,1,1,7,349,0,-23,16,-91,-8
3337,6.13,T,21,0,165,0,0,12,32,0,P,29,0,179,0,0,18,32,0,1,8,0,14,0,0,6,0,0
3338,9.58,Z,65,1,610,0,42,136,185,2,T,81,0,400,5,37,181,132,0,0,16,-1,-210,5,-5,45,-53,-2
3339,8.21,P,92,0,213,0,478,218,124,23,P,56,7,603,0,200,281,106,1,0,-36,7,390,0,-278,63,-18,-22
3340,5.44,Z,32,2,614,0,21,136,100,0,P,27,2,545,0,44,153,86,2,0,-5,0,-69,0,23,17,-14,2
3341,9.05,P,63,4,777,0,44,370,151,1,Z,50,1,588,0,318,164,368,2,0,-13,-3,-189,0,274,-206,217,1
3342,9.15,Z,65,10,396,4,641,243,339,5,T,109,0,355,0,388,245,148,12,0,44,-10,-41,-4,-253,2,-191,7
3343,6.07,T,34,0,501,0,3,44,77,5,P,20,0,125,0,24,60,49,6,1,-14,0,-376,0,21,16,-28,1
3344,4.01,Z,23,3,163,0,444,168,167,5,T,28,2,402,1,53,89,23,1,1,5,-1,239,1,-391,-79,-144,-4
3345,7.02,Z,39,8,311,0,54,161,120,0,Z,41,7,409,0,31,165,139,4,0,2,-1,98,0,-23,4,19,4
3346,6.22,Z,35,2,273,0,158,77,199,4,P,38,0,185,0,486,139,100,6,0,3,-2,-88,0,328,62,-99,2
3347,6.52,T,22,0,589,0,7,180,57,1,T,53,1,444,0,0,118,79,0,1,31,1,-145,0,-7,-62,22,-1
3348,8.11,Z,40,2,385,0,22,204,251,0,T,74,8,353,0,68,164,197,1,1,34,6,-32,0,46,-40,-54,1
3349,6.32,P,48,4,514,0,39,152,34,1,T,50,0,344,0,438,107,95,5,0,2,-4,-170,0,399,-45,61,4
3350,4.28,T,12,0,156,0,11,68,25,3,T,23,0,131,0,0,26,49,0,1,11,0,-25,0,-11,-42,24,-3
3351,9.42,Z,47,3,303,0,26,217,136,1,T,66,1,649,0,19,157,104,5,1,19,-2,346,0,-7,-60,-32,4
3352,9.59,P,46,0,803,0,0,207,105,0,Z,53,3,616,0,65,169,170,5,1,7,3,-187,0,65,-38,65,5
3353,4.55,T,30,3,388,0,9,108,51,0,Z,19,0,211,0,0,9,51,1,0,-11,-3,-177,0,-9,-99,0,1
3354,8.11,Z,56,1,538,0,66,190,151,9,T,55,0,201,0,18,348,156,3,1,-1,-1,-337,0,-48,158,5,-6
3355,9.59,Z,79,0,497,0,14,158,265,8,T,77,0,728,0,86,274,123,11,0,-2,0,231,0,72,116,-142,3
3356,9.44,P,42,1,364,0,11,221,86,0,T,38,0,184,0,13,48,67,3,1,-4,-1,-180,0,2,-173,-19,3
3357,1.19,P,7,0,78,0,57,33,23,4,P,3,0,60,0,50,31,20,1,1,-4,0,-18,0,-7,-2,-3,-3
3358,4.03,P,15,0,160,0,5,41,15,1,T,15,3,229,0,27,48,42,0,0,0,3,69,0,22,7,27,-1
3359,9.35,T,72,0,652,0,23,260,140,11,Z,68,7,662,0,58,176,189,2,1,-4,7,10,0,35,-84,49,-9
3360,9.59,Z,76,5,771,0,14,120,209,4,P,59,0,447,0,23,224,75,4,1,-17,-5,-324,0,9,104,-134,0
3361,9.59,P,54,0,676,0,28,191,62,4,T,87,0,765,0,80,104,115,9,0,33,0,89,0,52,-87,53,5
3362,9.59,Z,78,2,290,0,234,186,359,6,Z,72,0,463,0,76,264,246,17,1,-6,-2,173,0,-158,78,-113,11
3363,6.41,Z,42,1,433,0,426,212,284,4,P,36,1,284,0,397,157,55,6,1,-6,0,-149,0,-29,-55,-229,2
3364,9.58,T,30,9,391,0,20,55,99,0,T,23,0,397,0,0,42,36,0,0,-7,-9,6,0,-20,-13,-63,0
